beta, jump, 2*slope, slope, T
80, 1, -0.0705, -0.0352, 12.5771
83, 1, -0.0694, -0.0347, 12.7451
86, 1, -0.0683, -0.0341, 12.9131
89, 1, -0.0671, -0.0336, 13.0251
92, 1, -0.0660, -0.0330, 13.1931
95, 1, -0.0649, -0.0324, 13.3611
98, 1, -0.0637, -0.0319, 13.5291
101, 1, -0.0626, -0.0313, 13.6411
104, 1, -0.0614, -0.0307, 13.8091
107, 1, -0.0603, -0.0301, 13.9771
110, 1, -0.0591, -0.0296, 14.1451
113, 1, -0.0580, -0.0290, 14.3131
116, 1, -0.0568, -0.0284, 14.4251
119, 1, -0.0557, -0.0279, 14.8741
122, 1, -0.0546, -0.0273, 15.5191
125, 1, -0.0535, -0.0267, 16.1641
128, 1, -0.0524, -0.0262, 16.5941
131, 1, -0.0513, -0.0256, 17.2391
134, 1, -0.0502, -0.0251, 17.8841
137, 1, -0.0492, -0.0246, 18.5291
140, 1, -0.0481, -0.0241, 18.9591
143, 1, -0.0471, -0.0235, 19.9531
146, 1, -0.0461, -0.0230, 20.8951
149, 1, -0.0451, -0.0225, 21.8371
152, 1, -0.0441, -0.0221, 22.8891
155, 1, -0.0432, -0.0216, 23.6251
158, 1, -0.0422, -0.0211, 24.7291
80, 4, -0.0717, -0.0359, 10.5771
83, 4, -0.0707, -0.0353, 10.7451
86, 4, -0.0692, -0.0346, 10.9131
89, 4, -0.0685, -0.0342, 11.0251
92, 4, -0.0673, -0.0337, 11.1931
95, 4, -0.0662, -0.0331, 11.3611
98, 4, -0.0651, -0.0325, 11.5291
101, 4, -0.0639, -0.0320, 11.6411
104, 4, -0.0628, -0.0314, 11.8091
107, 4, -0.0616, -0.0308, 11.9771
110, 4, -0.0605, -0.0302, 12.1451
113, 4, -0.0589, -0.0295, 12.3131
116, 4, -0.0582, -0.0291, 12.4251
119, 4, -0.0570, -0.0285, 12.8741
122, 4, -0.0559, -0.0280, 13.5191
125, 4, -0.0548, -0.0274, 14.1641
128, 4, -0.0537, -0.0268, 14.5941
131, 4, -0.0526, -0.0263, 15.2391
134, 4, -0.0515, -0.0257, 15.8841
137, 4, -0.0504, -0.0252, 16.5291
140, 4, -0.0497, -0.0248, 16.9591
143, 4, -0.0483, -0.0241, 17.9531
146, 4, -0.0473, -0.0236, 18.8951
149, 4, -0.0462, -0.0231, 19.8371
152, 4, -0.0452, -0.0226, 20.8891
155, 4, -0.0443, -0.0221, 21.6251
158, 4, -0.0433, -0.0217, 22.7291
80, 9, -0.0747, -0.0373, 9.4072
83, 9, -0.0736, -0.0368, 9.5752
86, 9, -0.0726, -0.0363, 9.7432
89, 9, -0.0715, -0.0358, 9.8552
92, 9, -0.0705, -0.0352, 10.0232
95, 9, -0.0694, -0.0347, 10.1912
98, 9, -0.0683, -0.0341, 10.3592
101, 9, -0.0675, -0.0337, 10.4712
104, 9, -0.0660, -0.0330, 10.6392
107, 9, -0.0649, -0.0324, 10.8072
110, 9, -0.0637, -0.0318, 10.9752
113, 9, -0.0625, -0.0313, 11.1432
116, 9, -0.0618, -0.0309, 11.2552
119, 9, -0.0602, -0.0301, 11.7042
122, 9, -0.0591, -0.0295, 12.3492
125, 9, -0.0580, -0.0290, 12.9942
128, 9, -0.0572, -0.0286, 13.4242
131, 9, -0.0560, -0.0280, 14.0692
134, 9, -0.0546, -0.0273, 14.7142
137, 9, -0.0534, -0.0267, 15.3592
140, 9, -0.0527, -0.0263, 15.7892
143, 9, -0.0516, -0.0258, 16.7832
146, 9, -0.0505, -0.0253, 17.7252
149, 9, -0.0495, -0.0247, 18.6672
152, 9, -0.0481, -0.0240, 19.7192
155, 9, -0.0474, -0.0237, 20.4552
158, 9, -0.0464, -0.0232, 21.5592
