============= Kyber-512
[0m[1;31m     LWE instance generation    [0m
n=512	m=512	q=3329
dim = 1025, m = 512, dvol = 3944.94061028703, β = 405.5315

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 1, J_gap = 1, cost_model = 1, max_loop = 10, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:        2, (  50,   1): (  51,   1) --> (1024,   1), goal index:      547, cost = 
 index:        3, (  51,   1): (  52,   1) --> (1024,   1), goal index:      557, cost = 
 index:        4, (  52,   1): (  53,   1) --> (1024,   1), goal index:      575, cost = 
 index:        5, (  53,   1): (  54,   1) --> (1024,   1), goal index:      591, cost = 
 index:        6, (  50,   1): (  51,   1) --> (1024,   1), goal index:      607, cost = 
 index:        7, (  51,   1): (  52,   1) --> (1024,   1), goal index:      574, cost = 
 index:        8, (  51,   1): (  52,   1) --> (1024,   1), goal index:      591, cost = 
 index:        9, (  52,   1): (  53,   1) --> (1024,   1), goal index:      608, cost = 
 index:       10, (  52,   1): (  53,   1) --> (1024,   1), goal index:      615, cost = 
 index:       11, (  53,   1): (  54,   1) --> (1024,   1), goal index:      630, cost = 
 index:       12, (  50,   1): (  51,   1) --> (1024,   1), goal index:      640, cost = 
 index:       13, (  51,   1): (  52,   1) --> (1024,   1), goal index:      588, cost = 
 index:       14, (  51,   1): (  52,   1) --> (1024,   1), goal index:      605, cost = 
 index:       15, (  52,   1): (  53,   1) --> (1024,   1), goal index:      622, cost = 
 index:       16, (  51,   1): (  52,   1) --> (1024,   1), goal index:      629, cost = 
 index:       17, (  52,   1): (  53,   1) --> (1024,   1), goal index:      643, cost = 
 index:       18, (  53,   1): (  54,   1) --> (1024,   1), goal index:      650, cost = 
 index:       19, (  52,   1): (  53,   1) --> (1024,   1), goal index:      660, cost = 
 index:       20, (  50,   1): (  51,   1) --> (1024,   1), goal index:      671, cost = 
 index:       21, (  51,   1): (  52,   1) --> (1024,   1), goal index:      601, cost = 
 index:       22, (  51,   1): (  52,   1) --> (1024,   1), goal index:      618, cost = 
 index:       23, (  52,   1): (  53,   1) --> (1024,   1), goal index:      635, cost = 
 index:       24, (  51,   1): (  52,   1) --> (1024,   1), goal index:      642, cost = 
 index:       25, (  52,   1): (  53,   1) --> (1024,   1), goal index:      656, cost = 
 index:       26, (  53,   1): (  54,   1) --> (1024,   1), goal index:      663, cost = 
 index:       27, (  51,   1): (  52,   1) --> (1024,   1), goal index:      673, cost = 
 index:       28, (  52,   1): (  53,   1) --> (1024,   1), goal index:      682, cost = 
 index:       29, (  50,   1): (  51,   1) --> (1024,   1), goal index:      689, cost = 
 index:       30, (  51,   1): (  52,   1) --> (1024,   1), goal index:      615, cost = 
 index:       31, (  51,   1): (  52,   1) --> (1024,   1), goal index:      633, cost = 
 index:       32, (  52,   1): (  53,   1) --> (1024,   1), goal index:      649, cost = 
 index:       33, (  51,   1): (  52,   1) --> (1024,   1), goal index:      656, cost = 
 index:       34, (  52,   1): (  53,   1) --> (1024,   1), goal index:      670, cost = 
 index:       35, (  53,   1): (  54,   1) --> (1024,   1), goal index:      677, cost = 
 index:       36, (  51,   1): (  52,   1) --> (1024,   1), goal index:      687, cost = 
 index:       37, (  52,   1): (  53,   1) --> (1024,   1), goal index:      697, cost = 
 index:       38, (  50,   1): (  51,   1) --> (1024,   1), goal index:      704, cost = 
 index:       39, (  51,   1): (  52,   1) --> (1024,   1), goal index:      631, cost = 
 index:       40, (  51,   1): (  52,   1) --> (1024,   1), goal index:      647, cost = 
 index:       41, (  52,   1): (  53,   1) --> (1024,   1), goal index:      663, cost = 
 index:       42, (  51,   1): (  52,   1) --> (1024,   1), goal index:      670, cost = 
