============= Kyber-1024
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=3329
dim = 1918, m = 893, dvol = 7242.61152315450, β = 873.2308

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 10, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:        2, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1050, cost =
 index:        3, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1064, cost =
 index:        4, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1078, cost =
 index:        5, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1090, cost =
 index:        6, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1104, cost =
 index:        7, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1095, cost =
 index:        8, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1110, cost =
 index:        9, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1123, cost =
 index:       10, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1128, cost =
 index:       11, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1141, cost =
 index:       12, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1133, cost =
 index:       13, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1147, cost =
 index:       14, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1115, cost =
 index:       15, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1128, cost =
 index:       16, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1140, cost =
 index:       17, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1145, cost =
 index:       18, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1157, cost =
 index:       19, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1162, cost =
 index:       20, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1154, cost =
 index:       21, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1168, cost =
 index:       22, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1131, cost =
 index:       23, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1143, cost =
 index:       24, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1157, cost =
 index:       25, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1162, cost =
 index:       26, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1174, cost =
 index:       27, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1179, cost =
 index:       28, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1168, cost =
 index:       29, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1182, cost =
 index:       30, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1143, cost =
 index:       31, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1155, cost =
 index:       32, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1169, cost =
 index:       33, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1174, cost =
 index:       34, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1186, cost =
 index:       35, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1191, cost =
 index:       36, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1182, cost =
 index:       37, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1196, cost =
 index:       38, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1154, cost =
 index:       39, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1165, cost =
 index:       40, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1179, cost =
 index:       41, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1184, cost =
 index:       42, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1196, cost =
 index:       43, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1201, cost =
 index:       44, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1192, cost =
 index:       45, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1206, cost =
 index:       46, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1165, cost =
 index:       47, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1176, cost =
 index:       48, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1190, cost =
 index:       49, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1195, cost =
 index:       50, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1207, cost =
 index:       51, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1212, cost =
 index:       52, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1205, cost =
 index:       53, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1219, cost =
 index:       54, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1175, cost =
 index:       55, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1187, cost =
 index:       56, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1201, cost =
 index:       57, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1206, cost =
 index:       58, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1218, cost =
 index:       59, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1223, cost =
 index:       60, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1216, cost =
 index:       61, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1230, cost =
 index:       62, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1186, cost =
 index:       63, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1199, cost =
 index:       64, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1213, cost =
 index:       65, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1218, cost =
 index:       66, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1230, cost =
 index:       67, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1235, cost =
 index:       68, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1227, cost =
 index:       69, (  55,   7): (  55,   4) --> (1499,   1), goal index:     1240, cost =
 index:       70, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1194, cost =
 index:       71, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1207, cost =
 index:       72, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1221, cost =
 index:       73, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1226, cost =
 index:       74, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1238, cost =
 index:       75, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1243, cost =
 index:       76, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1237, cost =
 index:       77, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1251, cost =
 index:       78, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1262, cost =
 index:       79, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1268, cost =
 index:       80, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1226, cost =
 index:       81, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1242, cost =
 index:       82, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1247, cost =
 index:       83, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1259, cost =
 index:       84, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1264, cost =
 index:       85, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1243, cost =
 index:       86, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1260, cost =
 index:       87, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1271, cost =
 index:       88, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1278, cost =
 index:       89, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1283, cost =
 index:       90, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1283, cost =
 index:       91, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1296, cost =
 index:       92, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1261, cost =
 index:       93, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1276, cost =
 index:       94, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1281, cost =
 index:       95, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1293, cost =
 index:       96, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1298, cost =
 index:       97, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1257, cost =
 index:       98, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1274, cost =
 index:       99, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1279, cost =
 index:      100, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1279, cost =
 index:      101, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1293, cost =
 index:      102, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1298, cost =
 index:      103, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1278, cost =
 index:      104, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1288, cost =
 index:      105, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1288, cost =
 index:      106, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1302, cost =
 index:      107, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1307, cost =
 index:      108, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1318, cost =
 index:      109, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1323, cost =
 index:      110, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1291, cost =
 index:      111, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1308, cost =
 index:      112, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1313, cost =
 index:      113, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1313, cost =
 index:      114, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1327, cost =
 index:      115, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      116, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1292, cost =
 index:      117, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1301, cost =
 index:      118, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1301, cost =
 index:      119, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1301, cost =
 index:      120, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1312, cost =
 index:      121, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1316, cost =
 index:      122, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1302, cost =
 index:      123, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1311, cost =
 index:      124, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1311, cost =
 index:      125, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1328, cost =
 index:      126, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1332, cost =
 index:      127, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      128, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1347, cost =
 index:      129, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1351, cost =
 index:      130, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1317, cost =
 index:      131, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1319, cost =
 index:      132, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1332, cost =
 index:      133, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      134, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1344, cost =
 index:      135, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1348, cost =
 index:      136, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1318, cost =
 index:      137, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1328, cost =
 index:      138, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1328, cost =
