============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 3, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:        2, (  55,   7): (  55,   4) --> (1499,   1), goal index:      628, cost =
 index:        3, (  56,   7): (  56,   4) --> (1499,   1), goal index:      632, cost =
 index:        4, (  57,   7): (  57,   4) --> (1499,   1), goal index:      642, cost =
 index:        5, (  55,   4): (  55,   1) --> (1499,   1), goal index:      648, cost =
 index:        6, (  56,   4): (  56,   1) --> (1499,   1), goal index:      642, cost =
 index:        7, (  56,   7): (  56,   4) --> (1499,   1), goal index:      648, cost =
 index:        8, (  56,   7): (  56,   4) --> (1499,   1), goal index:      647, cost =
 index:        9, (  57,   7): (  57,   4) --> (1499,   1), goal index:      656, cost =
 index:       10, (  57,   7): (  57,   4) --> (1499,   1), goal index:      663, cost =
 index:       11, (  55,   4): (  55,   1) --> (1499,   1), goal index:      669, cost =
 index:       12, (  56,   7): (  56,   4) --> (1499,   1), goal index:      650, cost =
 index:       13, (  56,   4): (  56,   1) --> (1499,   1), goal index:      663, cost =
 index:       14, (  57,   7): (  57,   4) --> (1499,   1), goal index:      672, cost =
 index:       15, (  56,   4): (  56,   1) --> (1499,   1), goal index:      679, cost =
 index:       16, (  56,   7): (  56,   4) --> (1499,   1), goal index:      687, cost =
 index:       17, (  56,   7): (  56,   4) --> (1499,   1), goal index:      660, cost =
 index:       18, (  57,   7): (  57,   4) --> (1499,   1), goal index:      670, cost =
 index:       19, (  57,   7): (  57,   4) --> (1499,   1), goal index:      677, cost =
 index:       20, (  56,   7): (  56,   4) --> (1499,   1), goal index:      684, cost =
 index:       21, (  56,   7): (  56,   4) --> (1499,   1), goal index:      666, cost =
 index:       22, (  57,   7): (  57,   4) --> (1499,   1), goal index:      680, cost =
 index:       23, (  57,   7): (  57,   4) --> (1499,   1), goal index:      690, cost =
 index:       24, (  55,   4): (  55,   1) --> (1499,   1), goal index:      698, cost =
 index:       25, (  56,   7): (  56,   4) --> (1499,   1), goal index:      673, cost =
 index:       26, (  57,   7): (  57,   4) --> (1499,   1), goal index:      685, cost =
 index:       27, (  57,   7): (  57,   4) --> (1499,   1), goal index:      693, cost =
 index:       28, (  56,   7): (  56,   4) --> (1499,   1), goal index:      698, cost =
 index:       29, (  56,   7): (  56,   4) --> (1499,   1), goal index:      677, cost =
 index:       30, (  57,   7): (  57,   4) --> (1499,   1), goal index:      689, cost =
 index:       31, (  57,   7): (  57,   4) --> (1499,   1), goal index:      698, cost =
 index:       32, (  56,   7): (  56,   4) --> (1499,   1), goal index:      705, cost =
 index:       33, (  57,   7): (  57,   4) --> (1499,   1), goal index:      680, cost =
 index:       34, (  56,   4): (  56,   1) --> (1499,   1), goal index:      691, cost =
 index:       35, (  57,   7): (  57,   4) --> (1499,   1), goal index:      703, cost =
 index:       36, (  55,   4): (  55,   1) --> (1499,   1), goal index:      713, cost =
 index:       37, (  56,   7): (  56,   4) --> (1499,   1), goal index:      685, cost =
 index:       38, (  57,   7): (  57,   4) --> (1499,   1), goal index:      700, cost =
 index:       39, (  57,   7): (  57,   4) --> (1499,   1), goal index:      709, cost =
 index:       40, (  57,   7): (  57,   4) --> (1499,   1), goal index:      715, cost =
 index:       41, (  58,   7): (  58,   4) --> (1499,   1), goal index:      721, cost =
 index:       42, (  57,   7): (  57,   4) --> (1499,   1), goal index:      729, cost =
 index:       43, (  57,   7): (  57,   4) --> (1499,   1), goal index:      697, cost =
 index:       44, (  58,   7): (  58,   4) --> (1499,   1), goal index:      706, cost =
 index:       45, (  57,   7): (  57,   4) --> (1499,   1), goal index:      713, cost =
 index:       46, (  57,   7): (  57,   4) --> (1499,   1), goal index:      723, cost =
 index:       47, (  56,   4): (  56,   1) --> (1499,   1), goal index:      703, cost =
 index:       48, (  57,   7): (  57,   4) --> (1499,   1), goal index:      718, cost =
 index:       49, (  58,   7): (  58,   4) --> (1499,   1), goal index:      730, cost =
 index:       50, (  57,   7): (  57,   4) --> (1499,   1), goal index:      740, cost =
 index:       51, (  58,   7): (  58,   4) --> (1499,   1), goal index:      750, cost =
 index:       52, (  56,   4): (  56,   1) --> (1499,   1), goal index:      754, cost =
 index:       53, (  56,   4): (  56,   1) --> (1499,   1), goal index:      719, cost =
 index:       54, (  57,   7): (  57,   4) --> (1499,   1), goal index:      724, cost =
 index:       55, (  57,   7): (  57,   4) --> (1499,   1), goal index:      734, cost =
 index:       56, (  58,   7): (  58,   4) --> (1499,   1), goal index:      738, cost =
 index:       57, (  57,   7): (  57,   4) --> (1499,   1), goal index:      745, cost =
 index:       58, (  57,   7): (  57,   4) --> (1499,   1), goal index:      752, cost =
 index:       59, (  57,   7): (  57,   4) --> (1499,   1), goal index:      721, cost =
 index:       60, (  57,   7): (  57,   4) --> (1499,   1), goal index:      734, cost =
 index:       61, (  58,   7): (  58,   4) --> (1499,   1), goal index:      747, cost =
 index:       62, (  57,   7): (  57,   4) --> (1499,   1), goal index:      757, cost =
 index:       63, (  58,   7): (  58,   4) --> (1499,   1), goal index:      766, cost =
 index:       64, (  57,   7): (  57,   4) --> (1499,   1), goal index:      769, cost =
 index:       65, (  56,   4): (  56,   1) --> (1499,   1), goal index:      738, cost =
 index:       66, (  57,   7): (  57,   4) --> (1499,   1), goal index:      749, cost =
 index:       67, (  57,   7): (  57,   4) --> (1499,   1), goal index:      757, cost =
 index:       68, (  58,   7): (  58,   4) --> (1499,   1), goal index:      767, cost =
 index:       69, (  56,   4): (  56,   1) --> (1499,   1), goal index:      772, cost =
 index:       70, (  56,   4): (  56,   1) --> (1499,   1), goal index:      735, cost =
 index:       71, (  57,   7): (  57,   4) --> (1499,   1), goal index:      743, cost =
 index:       72, (  57,   7): (  57,   4) --> (1499,   1), goal index:      755, cost =
