============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:       11, (  58,   4): (  58,   1) --> (1499,   1), goal index:      694, cost =
 index:       12, (  56,   4): (  56,   1) --> (1499,   1), goal index:      705, cost =
 index:       13, (  58,   4): (  58,   1) --> (1499,   1), goal index:      696, cost =
 index:       14, (  54,   4): (  54,   1) --> (1499,   1), goal index:      707, cost =
 index:       15, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       16, (  56,   4): (  56,   1) --> (1499,   1), goal index:      692, cost =
 index:       17, (  58,   4): (  58,   1) --> (1499,   1), goal index:      694, cost =
 index:       18, (  56,   4): (  56,   1) --> (1499,   1), goal index:      706, cost =
 index:       19, (  58,   4): (  58,   1) --> (1499,   1), goal index:      701, cost =
 index:       20, (  58,   4): (  58,   1) --> (1499,   1), goal index:      713, cost =
 index:       21, (  58,   4): (  58,   1) --> (1499,   1), goal index:      704, cost =
 index:       22, (  60,   4): (  60,   1) --> (1499,   1), goal index:      716, cost =
 index:       23, (  58,   4): (  58,   1) --> (1499,   1), goal index:      726, cost =
 index:       24, (  60,   4): (  60,   1) --> (1499,   1), goal index:      713, cost =
 index:       25, (  56,   4): (  56,   1) --> (1499,   1), goal index:      724, cost =
 index:       26, (  58,   4): (  58,   1) --> (1499,   1), goal index:      697, cost =
 index:       27, (  58,   4): (  58,   1) --> (1499,   1), goal index:      703, cost =
 index:       28, (  60,   4): (  60,   1) --> (1499,   1), goal index:      705, cost =
 index:       29, (  58,   4): (  58,   1) --> (1499,   1), goal index:      717, cost =
 index:       30, (  58,   4): (  58,   1) --> (1499,   1), goal index:      711, cost =
 index:       31, (  60,   4): (  60,   1) --> (1499,   1), goal index:      707, cost =
 index:       32, (  60,   4): (  60,   1) --> (1499,   1), goal index:      719, cost =
 index:       33, (  60,   4): (  60,   1) --> (1499,   1), goal index:      731, cost =
 index:       34, (  60,   4): (  60,   1) --> (1499,   1), goal index:      719, cost =
 index:       35, (  62,   4): (  62,   1) --> (1499,   1), goal index:      729, cost =
 index:       36, (  60,   4): (  60,   1) --> (1499,   1), goal index:      738, cost =
 index:       37, (  58,   4): (  58,   1) --> (1499,   1), goal index:      720, cost =
 index:       38, (  60,   4): (  60,   1) --> (1499,   1), goal index:      707, cost =
 index:       39, (  60,   4): (  60,   1) --> (1499,   1), goal index:      712, cost =
 index:       40, (  62,   4): (  62,   1) --> (1499,   1), goal index:      714, cost =
 index:       41, (  60,   4): (  60,   1) --> (1499,   1), goal index:      726, cost =
 index:       42, (  60,   4): (  60,   1) --> (1499,   1), goal index:      719, cost =
 index:       43, (  60,   4): (  60,   1) --> (1499,   1), goal index:      716, cost =
 index:       44, (  62,   4): (  62,   1) --> (1499,   1), goal index:      717, cost =
 index:       45, (  62,   4): (  62,   1) --> (1499,   1), goal index:      728, cost =
 index:       46, (  62,   4): (  62,   1) --> (1499,   1), goal index:      721, cost =
 index:       47, (  60,   4): (  60,   1) --> (1499,   1), goal index:      730, cost =
 index:       48, (  62,   4): (  62,   1) --> (1499,   1), goal index:      715, cost =
 index:       49, (  62,   4): (  62,   1) --> (1499,   1), goal index:      720, cost =
 index:       50, (  64,   4): (  64,   1) --> (1499,   1), goal index:      722, cost =
 index:       51, (  62,   4): (  62,   1) --> (1499,   1), goal index:      733, cost =
 index:       52, (  62,   4): (  62,   1) --> (1499,   1), goal index:      726, cost =
 index:       53, (  62,   4): (  62,   1) --> (1499,   1), goal index:      724, cost =
 index:       54, (  62,   4): (  62,   1) --> (1499,   1), goal index:      725, cost =
 index:       55, (  64,   4): (  64,   1) --> (1499,   1), goal index:      726, cost =
 index:       56, (  64,   4): (  64,   1) --> (1499,   1), goal index:      737, cost =
 index:       57, (  62,   4): (  62,   1) --> (1499,   1), goal index:      730, cost =
 index:       58, (  64,   4): (  64,   1) --> (1499,   1), goal index:      726, cost =
 index:       59, (  64,   4): (  64,   1) --> (1499,   1), goal index:      729, cost =
 index:       60, (  66,   4): (  66,   1) --> (1499,   1), goal index:      731, cost =
 index:       61, (  64,   4): (  64,   1) --> (1499,   1), goal index:      743, cost =
 index:       62, (  64,   4): (  64,   1) --> (1499,   1), goal index:      735, cost =
 index:       63, (  64,   4): (  64,   1) --> (1499,   1), goal index:      734, cost =
 index:       64, (  64,   4): (  64,   1) --> (1499,   1), goal index:      735, cost =
 index:       65, (  64,   4): (  64,   1) --> (1499,   1), goal index:      736, cost =
 index:       66, (  66,   4): (  66,   1) --> (1499,   1), goal index:      737, cost =
 index:       67, (  66,   4): (  66,   1) --> (1499,   1), goal index:      749, cost =
 index:       68, (  64,   4): (  64,   1) --> (1499,   1), goal index:      740, cost =
 index:       69, (  66,   4): (  66,   1) --> (1499,   1), goal index:      737, cost =
 index:       70, (  66,   4): (  66,   1) --> (1499,   1), goal index:      739, cost =
 index:       71, (  68,   4): (  68,   1) --> (1499,   1), goal index:      741, cost =
 index:       72, (  66,   4): (  66,   1) --> (1499,   1), goal index:      752, cost =
 index:       73, (  66,   4): (  66,   1) --> (1499,   1), goal index:      743, cost =
 index:       74, (  66,   4): (  66,   1) --> (1499,   1), goal index:      745, cost =
 index:       75, (  66,   4): (  66,   1) --> (1499,   1), goal index:      745, cost =
 index:       76, (  66,   4): (  66,   1) --> (1499,   1), goal index:      745, cost =
 index:       77, (  66,   4): (  66,   1) --> (1499,   1), goal index:      746, cost =
 index:       78, (  68,   4): (  68,   1) --> (1499,   1), goal index:      748, cost =
 index:       79, (  66,   4): (  66,   1) --> (1499,   1), goal index:      759, cost =
 index:       80, (  68,   4): (  68,   1) --> (1499,   1), goal index:      749, cost =
 index:       81, (  68,   4): (  68,   1) --> (1499,   1), goal index:      750, cost =
 index:       82, (  70,   4): (  70,   1) --> (1499,   1), goal index:      752, cost =
 index:       83, (  68,   4): (  68,   1) --> (1499,   1), goal index:      763, cost =
 index:       84, (  68,   4): (  68,   1) --> (1499,   1), goal index:      754, cost =
 index:       85, (  68,   4): (  68,   1) --> (1499,   1), goal index:      755, cost =
 index:       86, (  71,   7): (  71,   4) --> (1499,   1), goal index:      756, cost =
 index:       87, (  68,   4): (  68,   1) --> (1499,   1), goal index:      767, cost =
 index:       88, (  68,   4): (  68,   1) --> (1499,   1), goal index:      761, cost =
 index:       89, (  68,   4): (  68,   1) --> (1499,   1), goal index:      759, cost =
 index:       90, (  68,   4): (  68,   1) --> (1499,   1), goal index:      761, cost =
 index:       91, (  71,   7): (  71,   4) --> (1499,   1), goal index:      763, cost =
 index:       92, (  68,   4): (  68,   1) --> (1499,   1), goal index:      760, cost =
 index:       93, (  70,   4): (  70,   1) --> (1499,   1), goal index:      758, cost =
 index:       94, (  70,   4): (  70,   1) --> (1499,   1), goal index:      761, cost =
 index:       95, (  70,   4): (  70,   1) --> (1499,   1), goal index:      762, cost =
 index:       96, (  71,   7): (  71,   4) --> (1499,   1), goal index:      764, cost =
 index:       97, (  71,   7): (  71,   4) --> (1499,   1), goal index:      776, cost =
 index:       98, (  71,   7): (  71,   4) --> (1499,   1), goal index:      769, cost =
 index:       99, (  71,   7): (  71,   4) --> (1499,   1), goal index:      770, cost =
