============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:    1, (beta,j): (  79,  15) --> ( 699,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 351,  11) --> ( 699,   1), goal index: 10613, cost =
 index:    3, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 11981, cost =
 index:    4, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 12875, cost =
 index:    5, (beta,j): ( 352,  13) --> ( 699,   1), goal index: 14158, cost =
 index:    6, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 15001, cost =
 index:    7, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 15738, cost =
 index:    8, (beta,j): ( 351,  11) --> ( 699,   1), goal index: 16334, cost =
 index:    9, (beta,j): ( 352,  13) --> ( 699,   1), goal index: 16572, cost =
 index:   10, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 16750, cost =
 index:   11, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 17249, cost =
 index:   12, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 17636, cost =
 index:   13, (beta,j): ( 351,  11) --> ( 699,   1), goal index: 17773, cost =
 index:   14, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 17851, cost =
 index:   15, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 18162, cost =
 index:   16, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18427, cost =
 index:   17, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 18465, cost =
 index:   18, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 18708, cost =
 index:   19, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 18744, cost =
 index:   20, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 18755, cost =
 index:   21, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 18742, cost =
 index:   22, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 18743, cost =
 index:   23, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 18690, cost =
 index:   24, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18628, cost =
 index:   25, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18414, cost =
 index:   26, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18568, cost =
 index:   27, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18595, cost =
 index:   28, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 18625, cost =
 index:   29, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 17557, cost =
 index:   30, (beta,j): ( 350,   9) --> ( 699,   1), goal index: 18103, cost =
 index:   31, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 18541, cost =
 index:   32, (beta,j): ( 351,  11) --> ( 699,   1), goal index: 18393, cost =
 index:   33, (beta,j): ( 338,   1) --> ( 699,   1), goal index: 18951, cost =
 index:   34, (beta,j): ( 347,   4) --> ( 699,   1), goal index: 16773, cost =
 index:   35, (beta,j): ( 348,   6) --> ( 699,   1), goal index: 17706, cost =
 index:   36, (beta,j): ( 350,  10) --> ( 699,   1), goal index: 18244, cost =
 index:   37, (beta,j): ( 351,  12) --> ( 699,   1), goal index: 18637, cost =
 index:   38, (beta,j): ( 355,   9) --> ( 699,   1), goal index: 18796, cost =
 index:   39, (beta,j): ( 345,  15) --> ( 699,   1), goal index: 18874, cost =
 index:   40, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 17424, cost =
 index:   41, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 17821, cost =
 index:   42, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 18624, cost =
 index:   43, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 18887, cost =
 index:   44, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 19022, cost =
 index:   45, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 19226, cost =
 index:   46, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 19467, cost =
 index:   47, (beta,j): ( 352,  12) --> ( 699,   1), goal index: 19562, cost =
 index:   48, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 19612, cost =
 index:   49, (beta,j): ( 348,   5) --> ( 699,   1), goal index: 19998, cost =
 index:   50, (beta,j): ( 349,   7) --> ( 699,   1), goal index: 20307, cost =
 index:   51, (beta,j): ( 347,   5) --> ( 699,   1), goal index: 20375, cost =
 index:   52, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 19970, cost =
 index:   53, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 19856, cost =
 index:   54, (beta,j): ( 335,  15) --> ( 699,   1), goal index: 20077, cost =
 index:   55, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 20185, cost =
 index:   56, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 19955, cost =
 index:   57, (beta,j): ( 352,  12) --> ( 699,   1), goal index: 20261, cost =
 index:   58, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 20438, cost =
 index:   59, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 20617, cost =
 index:   60, (beta,j): ( 349,   6) --> ( 699,   1), goal index: 20607, cost =
 index:   61, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 20796, cost =
 index:   62, (beta,j): ( 349,   6) --> ( 699,   1), goal index: 20987, cost =
 index:   63, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 20946, cost =
 index:   64, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 21150, cost =
 index:   65, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 21213, cost =
 index:   66, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 21327, cost =
 index:   67, (beta,j): ( 338,   2) --> ( 699,   1), goal index: 21353, cost =
 index:   68, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 21340, cost =
 index:   69, (beta,j): ( 348,   4) --> ( 699,   1), goal index: 21195, cost =
 index:   70, (beta,j): ( 349,   6) --> ( 699,   1), goal index: 21275, cost =
 index:   71, (beta,j): ( 349,   6) --> ( 699,   1), goal index: 21277, cost =
 index:   72, (beta,j): ( 349,   6) --> ( 699,   1), goal index: 21325, cost =
 index:   73, (beta,j): ( 350,   8) --> ( 699,   1), goal index: 21358, cost =
