============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS)
beta_start= 79, gap = 1, J = 5, J_gap = 1, cost_model = 1, max_loop = 5, threads = 1, G_prec = 1.000000e-03,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G2 Strategy. 

 index:        1, (beta,j): (  79,   5) --> ( 699,   1), goal index:        1, cost =
 index:        2, (beta,j): (  79,   4) --> ( 699,   1), goal index:      790, cost =
 index:        3, (beta,j): (  79,   3) --> ( 699,   1), goal index:      800, cost =
 index:        4, (beta,j): (  79,   2) --> ( 699,   1), goal index:      804, cost =
 index:        5, (beta,j): (  79,   1) --> ( 699,   1), goal index:      800, cost =
 index:        6, (beta,j): (  80,   5) --> ( 699,   1), goal index:      807, cost =
 index:        7, (beta,j): (  80,   4) --> ( 699,   1), goal index:      814, cost =
 index:        8, (beta,j): (  80,   3) --> ( 699,   1), goal index:      803, cost =
 index:        9, (beta,j): (  80,   2) --> ( 699,   1), goal index:      800, cost =
 index:       10, (beta,j): (  80,   1) --> ( 699,   1), goal index:      797, cost =
 index:       11, (beta,j): (  81,   5) --> ( 699,   1), goal index:      797, cost =
 index:       12, (beta,j): (  81,   4) --> ( 699,   1), goal index:      804, cost =
 index:       13, (beta,j): (  81,   3) --> ( 699,   1), goal index:      860, cost =
 index:       14, (beta,j): (  81,   2) --> ( 699,   1), goal index:      855, cost =
 index:       15, (beta,j): (  81,   1) --> ( 699,   1), goal index:      880, cost =
 index:       16, (beta,j): (  82,   5) --> ( 699,   1), goal index:      875, cost =
 index:       17, (beta,j): (  82,   4) --> ( 699,   1), goal index:      872, cost =
 index:       18, (beta,j): (  82,   3) --> ( 699,   1), goal index:      932, cost =
 index:       19, (beta,j): (  82,   2) --> ( 699,   1), goal index:      951, cost =
 index:       20, (beta,j): (  82,   1) --> ( 699,   1), goal index:      937, cost =
 index:       21, (beta,j): (  83,   5) --> ( 699,   1), goal index:      928, cost =
