============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:    1, (beta,j): (  51,  15) --> ( 499,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 342,   2) --> ( 499,   1), goal index: 4671, cost =
 index:    3, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 7950, cost =
 index:    4, (beta,j): ( 350,  12) --> ( 499,   1), goal index: 9867, cost =
 index:    5, (beta,j): ( 350,  13) --> ( 499,   1), goal index: 11171, cost =
 index:    6, (beta,j): ( 350,  13) --> ( 499,   1), goal index: 12075, cost =
 index:    7, (beta,j): ( 350,  13) --> ( 499,   1), goal index: 13025, cost =
 index:    8, (beta,j): ( 350,  13) --> ( 499,   1), goal index: 13359, cost =
 index:    9, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 13515, cost =
 index:   10, (beta,j): ( 350,   9) --> ( 499,   1), goal index: 14018, cost =
 index:   11, (beta,j): ( 352,  13) --> ( 499,   1), goal index: 14752, cost =
 index:   12, (beta,j): ( 350,  12) --> ( 499,   1), goal index: 15581, cost =
 index:   13, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 16472, cost =
 index:   14, (beta,j): ( 350,  12) --> ( 499,   1), goal index: 17104, cost =
 index:   15, (beta,j): ( 350,  12) --> ( 499,   1), goal index: 17590, cost =
 index:   16, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 17699, cost =
 index:   17, (beta,j): ( 349,   9) --> ( 499,   1), goal index: 17918, cost =
 index:   18, (beta,j): ( 350,  11) --> ( 499,   1), goal index: 18013, cost =
 index:   19, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 18325, cost =
 index:   20, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 18515, cost =
 index:   21, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 17854, cost =
 index:   22, (beta,j): ( 350,  12) --> ( 499,   1), goal index: 18395, cost =
 index:   23, (beta,j): ( 349,   5) --> ( 499,   1), goal index: 18943, cost =
 index:   24, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 17985, cost =
 index:   25, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 18827, cost =
 index:   26, (beta,j): ( 350,  11) --> ( 499,   1), goal index: 19290, cost =
 index:   27, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 19742, cost =
 index:   28, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 20047, cost =
 index:   29, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 20191, cost =
 index:   30, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 20387, cost =
 index:   31, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 20491, cost =
 index:   32, (beta,j): ( 351,  14) --> ( 499,   1), goal index: 20639, cost =
 index:   33, (beta,j): ( 350,  11) --> ( 499,   1), goal index: 20691, cost =
 index:   34, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 20597, cost =
