============= Dilithium-I
[0m[1;31m dim = 2049, dvol = 15614.22 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, strategy_add_method = 2

 index:    1, (beta,j): (  51,  15) --> ( 499,   1), goal index:    1, cost =
 index:    2, (beta,j): (  87,   7) --> ( 499,   1), goal index:  936, cost =
 index:    3, (beta,j): (  88,  15) --> ( 499,   1), goal index:  936, cost =
 index:    4, (beta,j): (  88,   2) --> ( 499,   1), goal index:  937, cost =
 index:    5, (beta,j): (  89,  12) --> ( 499,   1), goal index:  937, cost =
 index:    6, (beta,j): (  90,   9) --> ( 499,   1), goal index:  937, cost =
 index:    7, (beta,j): (  91,  14) --> ( 499,   1), goal index:  937, cost =
 index:    8, (beta,j): (  91,   3) --> ( 499,   1), goal index:  937, cost =
 index:    9, (beta,j): (  94,  11) --> ( 499,   1), goal index:  938, cost =
 index:   10, (beta,j): (  95,   5) --> ( 499,   1), goal index:  938, cost =
 index:   11, (beta,j): (  95,   4) --> ( 499,   1), goal index:  939, cost =
 index:   12, (beta,j): (  96,  15) --> ( 499,   1), goal index:  939, cost =
 index:   13, (beta,j): (  96,   4) --> ( 499,   1), goal index:  939, cost =
 index:   14, (beta,j): (  96,   2) --> ( 499,   1), goal index:  939, cost =
 index:   15, (beta,j): (  98,  13) --> ( 499,   1), goal index:  939, cost =
 index:   16, (beta,j): (  98,   8) --> ( 499,   1), goal index:  939, cost =
 index:   17, (beta,j): (  98,   5) --> ( 499,   1), goal index:  939, cost =
 index:   18, (beta,j): (  99,   6) --> ( 499,   1), goal index:  939, cost =
 index:   19, (beta,j): (  99,   2) --> ( 499,   1), goal index:  939, cost =
 index:   20, (beta,j): ( 100,   7) --> ( 499,   1), goal index:  939, cost =
 index:   21, (beta,j): ( 100,   6) --> ( 499,   1), goal index:  939, cost =
 index:   22, (beta,j): ( 100,   5) --> ( 499,   1), goal index:  939, cost =
 index:   23, (beta,j): ( 100,   2) --> ( 499,   1), goal index:  939, cost =
 index:   24, (beta,j): ( 101,  13) --> ( 499,   1), goal index:  939, cost =
 index:   25, (beta,j): ( 101,  12) --> ( 499,   1), goal index:  939, cost =
 index:   26, (beta,j): ( 101,  10) --> ( 499,   1), goal index:  939, cost =
 index:   27, (beta,j): ( 101,   4) --> ( 499,   1), goal index:  939, cost =
 index:   28, (beta,j): ( 102,  14) --> ( 499,   1), goal index:  939, cost =
 index:   29, (beta,j): ( 103,  13) --> ( 499,   1), goal index:  939, cost =
 index:   30, (beta,j): ( 103,  12) --> ( 499,   1), goal index:  939, cost =
 index:   31, (beta,j): ( 103,  10) --> ( 499,   1), goal index:  940, cost =
 index:   32, (beta,j): ( 103,   9) --> ( 499,   1), goal index:  940, cost =
 index:   33, (beta,j): ( 104,  12) --> ( 499,   1), goal index:  940, cost =
 index:   34, (beta,j): ( 104,   9) --> ( 499,   1), goal index:  940, cost =
 index:   35, (beta,j): ( 105,  12) --> ( 499,   1), goal index:  940, cost =
 index:   36, (beta,j): ( 105,   9) --> ( 499,   1), goal index:  940, cost =
 index:   37, (beta,j): ( 106,  11) --> ( 499,   1), goal index:  940, cost =
 index:   38, (beta,j): ( 106,   7) --> ( 499,   1), goal index:  940, cost =
 index:   39, (beta,j): ( 106,   3) --> ( 499,   1), goal index:  940, cost =
 index:   40, (beta,j): ( 107,  11) --> ( 499,   1), goal index:  940, cost =
 index:   41, (beta,j): ( 107,   6) --> ( 499,   1), goal index:  940, cost =
 index:   42, (beta,j): ( 107,   2) --> ( 499,   1), goal index:  940, cost =
 index:   43, (beta,j): ( 108,  11) --> ( 499,   1), goal index:  940, cost =
 index:   44, (beta,j): ( 108,   6) --> ( 499,   1), goal index:  941, cost =
 index:   45, (beta,j): ( 108,   2) --> ( 499,   1), goal index:  941, cost =
 index:   46, (beta,j): ( 109,  12) --> ( 499,   1), goal index:  941, cost =
 index:   47, (beta,j): ( 109,   5) --> ( 499,   1), goal index:  941, cost =
 index:   48, (beta,j): ( 110,  14) --> ( 499,   1), goal index:  941, cost =
 index:   49, (beta,j): ( 110,   2) --> ( 499,   1), goal index:  941, cost =
 index:   50, (beta,j): ( 110,   1) --> ( 499,   1), goal index:  941, cost =
 index:   51, (beta,j): ( 111,  11) --> ( 499,   1), goal index:  941, cost =
 index:   52, (beta,j): ( 112,   8) --> ( 499,   1), goal index:  941, cost =
 index:   53, (beta,j): ( 113,   7) --> ( 499,   1), goal index:  941, cost =
 index:   54, (beta,j): ( 114,  14) --> ( 499,   1), goal index:  941, cost =
 index:   55, (beta,j): ( 114,   7) --> ( 499,   1), goal index:  941, cost =
 index:   56, (beta,j): ( 115,  14) --> ( 499,   1), goal index:  941, cost =
 index:   57, (beta,j): ( 115,  12) --> ( 499,   1), goal index:  941, cost =
 index:   58, (beta,j): ( 115,  10) --> ( 499,   1), goal index:  941, cost =
 index:   59, (beta,j): ( 115,   7) --> ( 499,   1), goal index:  942, cost =
 index:   60, (beta,j): ( 115,   3) --> ( 499,   1), goal index:  942, cost =
 index:   61, (beta,j): ( 115,   1) --> ( 499,   1), goal index:  943, cost =
 index:   62, (beta,j): ( 117,  10) --> ( 499,   1), goal index:  944, cost =
 index:   63, (beta,j): ( 117,   2) --> ( 499,   1), goal index:  944, cost =
 index:   64, (beta,j): ( 118,  11) --> ( 499,   1), goal index:  944, cost =
 index:   65, (beta,j): ( 119,  10) --> ( 499,   1), goal index:  944, cost =
 index:   66, (beta,j): ( 119,   9) --> ( 499,   1), goal index:  944, cost =
 index:   67, (beta,j): ( 119,   3) --> ( 499,   1), goal index:  944, cost =
 index:   68, (beta,j): ( 120,  13) --> ( 499,   1), goal index:  944, cost =
 index:   69, (beta,j): ( 120,   6) --> ( 499,   1), goal index:  944, cost =
 index:   70, (beta,j): ( 121,   3) --> ( 499,   1), goal index:  944, cost =
 index:   71, (beta,j): ( 122,   7) --> ( 499,   1), goal index:  944, cost =
 index:   72, (beta,j): ( 122,   4) --> ( 499,   1), goal index:  944, cost =
 index:   73, (beta,j): ( 123,  10) --> ( 499,   1), goal index:  946, cost =
 index:   74, (beta,j): ( 123,   9) --> ( 499,   1), goal index:  946, cost =
 index:   75, (beta,j): ( 123,   8) --> ( 499,   1), goal index:  947, cost =
 index:   76, (beta,j): ( 123,   5) --> ( 499,   1), goal index:  947, cost =
 index:   77, (beta,j): ( 123,   3) --> ( 499,   1), goal index:  947, cost =
 index:   78, (beta,j): ( 124,   1) --> ( 499,   1), goal index:  947, cost =
 index:   79, (beta,j): ( 126,  12) --> ( 499,   1), goal index:  947, cost =
 index:   80, (beta,j): ( 126,   5) --> ( 499,   1), goal index:  947, cost =
