============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 1, J_gap = 1, cost_model = 1, max_loop = 1, threads = 50

 index:    1, (beta,j): (  51,   1) --> ( 499,   1), goal index:    1, cost =
 index:    2, (beta,j): (  52,   1) --> ( 499,   1), goal index:  450, cost =
 index:    3, (beta,j): (  53,   1) --> ( 499,   1), goal index:  851, cost =
 index:    4, (beta,j): (  54,   1) --> ( 499,   1), goal index: 1233, cost =
 index:    5, (beta,j): (  55,   1) --> ( 499,   1), goal index: 1602, cost =
 index:    6, (beta,j): (  56,   1) --> ( 499,   1), goal index: 1933, cost =
 index:    7, (beta,j): (  57,   1) --> ( 499,   1), goal index: 2232, cost =
 index:    8, (beta,j): (  58,   1) --> ( 499,   1), goal index: 2493, cost =
 index:    9, (beta,j): (  59,   1) --> ( 499,   1), goal index: 2710, cost =
 index:   10, (beta,j): (  60,   1) --> ( 499,   1), goal index: 2876, cost =
 index:   11, (beta,j): (  61,   1) --> ( 499,   1), goal index: 3007, cost =
 index:   12, (beta,j): (  62,   1) --> ( 499,   1), goal index: 3120, cost =
 index:   13, (beta,j): (  63,   1) --> ( 499,   1), goal index: 3235, cost =
 index:   14, (beta,j): (  64,   1) --> ( 499,   1), goal index: 3348, cost =
 index:   15, (beta,j): (  65,   1) --> ( 499,   1), goal index: 3435, cost =
 index:   16, (beta,j): (  66,   1) --> ( 499,   1), goal index: 3524, cost =
 index:   17, (beta,j): (  67,   1) --> ( 499,   1), goal index: 3603, cost =
 index:   18, (beta,j): (  68,   1) --> ( 499,   1), goal index: 3656, cost =
 index:   19, (beta,j): (  69,   1) --> ( 499,   1), goal index: 3707, cost =
 index:   20, (beta,j): (  70,   1) --> ( 499,   1), goal index: 3760, cost =
 index:   21, (beta,j): (  71,   1) --> ( 499,   1), goal index: 3819, cost =
 index:   22, (beta,j): (  53,   1) --> ( 499,   1), goal index: 3857, cost =
 index:   23, (beta,j): (  72,   1) --> ( 499,   1), goal index: 3858, cost =
 index:   24, (beta,j): (  54,   1) --> ( 499,   1), goal index: 3897, cost =
 index:   25, (beta,j): (  73,   1) --> ( 499,   1), goal index: 3936, cost =
 index:   26, (beta,j): (  56,   1) --> ( 499,   1), goal index: 3983, cost =
 index:   27, (beta,j): (  74,   1) --> ( 499,   1), goal index: 3990, cost =
 index:   28, (beta,j): (  56,   1) --> ( 499,   1), goal index: 4022, cost =
 index:   29, (beta,j): (  57,   1) --> ( 499,   1), goal index: 4049, cost =
 index:   30, (beta,j): (  75,   1) --> ( 499,   1), goal index: 4052, cost =
 index:   31, (beta,j): (  59,   1) --> ( 499,   1), goal index: 4069, cost =
 index:   32, (beta,j): (  76,   1) --> ( 499,   1), goal index: 4082, cost =
 index:   33, (beta,j): (  58,   1) --> ( 499,   1), goal index: 4097, cost =
 index:   34, (beta,j): (  60,   1) --> ( 499,   1), goal index: 4119, cost =
 index:   35, (beta,j): (  77,   1) --> ( 499,   1), goal index: 4122, cost =
 index:   36, (beta,j): (  60,   1) --> ( 499,   1), goal index: 4139, cost =
 index:   37, (beta,j): (  61,   1) --> ( 499,   1), goal index: 4159, cost =
 index:   38, (beta,j): (  60,   1) --> ( 499,   1), goal index: 4167, cost =
 index:   39, (beta,j): (  78,   1) --> ( 499,   1), goal index: 4171, cost =
 index:   40, (beta,j): (  59,   1) --> ( 499,   1), goal index: 4176, cost =
 index:   41, (beta,j): (  62,   1) --> ( 499,   1), goal index: 4195, cost =
 index:   42, (beta,j): (  79,   1) --> ( 499,   1), goal index: 4199, cost =
 index:   43, (beta,j): (  61,   1) --> ( 499,   1), goal index: 4208, cost =
 index:   44, (beta,j): (  63,   1) --> ( 499,   1), goal index: 4234, cost =
 index:   45, (beta,j): (  64,   1) --> ( 499,   1), goal index: 4255, cost =
 index:   46, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4257, cost =
 index:   47, (beta,j): (  65,   1) --> ( 499,   1), goal index: 4261, cost =
