TU LWE Challenge, n =  40, alpha = 0.0350
[0m[1;31m dim = 188, dvol = 327.74 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 8, J_gap = 1, cost_model = 2, max_loop = 5, threads = 15, G_prec = 0.000000e+00,  slope_prec = 1.000000e-04,  progressive_sieve = 1, worst_case, Min G2 Strategy. 

 index:        1, (beta,j): (  79,   8) --> ( 187,   1), goal index:       71, cost =
 index:        2, (beta,j): (  79,   7) --> ( 187,   1), goal index:      153, cost =
 index:        3, (beta,j): (  80,   7) --> ( 187,   1), goal index:      208, cost =
 index:        4, (beta,j): (  81,   7) --> ( 187,   1), goal index:      302, cost =
 index:        5, (beta,j): (  82,   7) --> ( 187,   1), goal index:      389, cost =
 index:        6, (beta,j): (  83,   7) --> ( 187,   1), goal index:      455, cost =
 index:        7, (beta,j): (  84,   7) --> ( 187,   1), goal index:      523, cost =
 index:        8, (beta,j): (  85,   7) --> ( 187,   1), goal index:      585, cost =
 index:        9, (beta,j): (  86,   7) --> ( 187,   1), goal index:      652, cost =
 index:       10, (beta,j): (  87,   7) --> ( 187,   1), goal index:      717, cost =
 index:       11, (beta,j): (  88,   7) --> ( 187,   1), goal index:      779, cost =
 index:       12, (beta,j): (  89,   7) --> ( 187,   1), goal index:      833, cost =
 index:       13, (beta,j): (  90,   7) --> ( 187,   1), goal index:      873, cost =
 index:       14, (beta,j): (  91,   7) --> ( 187,   1), goal index:      919, cost =
 index:       15, (beta,j): (  92,   7) --> ( 187,   1), goal index:      968, cost =
 index:       16, (beta,j): (  93,   7) --> ( 187,   1), goal index:     1018, cost =
 index:       17, (beta,j): (  94,   7) --> ( 187,   1), goal index:     1070, cost =
 index:       18, (beta,j): (  95,   7) --> ( 187,   1), goal index:     1123, cost =
 index:       19, (beta,j): (  96,   7) --> ( 187,   1), goal index:     1173, cost =
 index:       20, (beta,j): (  97,   7) --> ( 187,   1), goal index:     1208, cost =
 index:       21, (beta,j): (  98,   7) --> ( 187,   1), goal index:     1262, cost =
 index:       22, (beta,j): (  79,   7) --> ( 187,   1), goal index:     1310, cost =
 index:       23, (beta,j): (  80,   7) --> ( 187,   1), goal index:     1338, cost =
 index:       24, (beta,j): (  80,   7) --> ( 187,   1), goal index:     1391, cost =
 index:       25, (beta,j): (  81,   7) --> ( 187,   1), goal index:     1441, cost =
 index:       26, (beta,j): (  82,   7) --> ( 187,   1), goal index:     1497, cost =
 index:       27, (beta,j): (  82,   7) --> ( 187,   1), goal index:     1554, cost =
 index:       28, (beta,j): (  83,   7) --> ( 187,   1), goal index:     1607, cost =
 index:       29, (beta,j): (  82,   7) --> ( 187,   1), goal index:     1667, cost =
 index:       30, (beta,j): (  82,   7) --> ( 187,   1), goal index:     1721, cost =
 index:       31, (beta,j): (  83,   7) --> ( 187,   1), goal index:     1776, cost =
 index:       32, (beta,j): (  83,   7) --> ( 187,   1), goal index:     1835, cost =
 index:       33, (beta,j): (  83,   7) --> ( 187,   1), goal index:     1894, cost =
 index:       34, (beta,j): (  84,   7) --> ( 187,   1), goal index:     1945, cost =
 index:       35, (beta,j): (  84,   7) --> ( 187,   1), goal index:     2012, cost =
 index:       36, (beta,j): (  84,   7) --> ( 187,   1), goal index:     2054, cost =
 index:       37, (beta,j): (  85,   7) --> ( 187,   1), goal index:     2092, cost =
 index:       38, (beta,j): (  85,   7) --> ( 187,   1), goal index:     2119, cost =
 index:       39, (beta,j): (  86,   7) --> ( 187,   1), goal index:     2156, cost =
 index:       40, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2161, cost =
 index:       41, (beta,j): (  86,   7) --> ( 187,   1), goal index:     2174, cost =
 index:       42, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2179, cost =
 index:       43, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2209, cost =
 index:       44, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2251, cost =
 index:       45, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2299, cost =
 index:       46, (beta,j): (  91,   7) --> ( 187,   1), goal index:     2346, cost =
 index:       47, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2383, cost =
 index:       48, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2387, cost =
 index:       49, (beta,j): (  91,   7) --> ( 187,   1), goal index:     2433, cost =
 index:       50, (beta,j): (  92,   7) --> ( 187,   1), goal index:     2482, cost =
 index:       51, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2525, cost =
 index:       52, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2525, cost =
 index:       53, (beta,j): (  91,   7) --> ( 187,   1), goal index:     2528, cost =
 index:       54, (beta,j): (  92,   7) --> ( 187,   1), goal index:     2578, cost =
 index:       55, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2620, cost =
 index:       56, (beta,j): (  91,   7) --> ( 187,   1), goal index:     2621, cost =
 index:       57, (beta,j): (  92,   7) --> ( 187,   1), goal index:     2671, cost =
 index:       58, (beta,j): (  93,   7) --> ( 187,   1), goal index:     2711, cost =
 index:       59, (beta,j): (  91,   7) --> ( 187,   1), goal index:     2746, cost =
 index:       60, (beta,j): (  92,   7) --> ( 187,   1), goal index:     2746, cost =
 index:       61, (beta,j): (  93,   7) --> ( 187,   1), goal index:     2795, cost =
 index:       62, (beta,j): (  89,   7) --> ( 187,   1), goal index:     2827, cost =
 index:       63, (beta,j): (  92,   7) --> ( 187,   1), goal index:     2827, cost =
 index:       64, (beta,j): (  93,   7) --> ( 187,   1), goal index:     2875, cost =
 index:       65, (beta,j): (  94,   7) --> ( 187,   1), goal index:     2916, cost =
 index:       66, (beta,j): (  90,   7) --> ( 187,   1), goal index:     2951, cost =
 index:       67, (beta,j): (  93,   7) --> ( 187,   1), goal index:     2951, cost =
 index:       68, (beta,j): (  94,   7) --> ( 187,   1), goal index:     2998, cost =
 index:       69, (beta,j): (  97,   7) --> ( 187,   1), goal index:     3030, cost =
 index:       70, (beta,j): (  90,   7) --> ( 187,   1), goal index:     3018, cost =
 index:       71, (beta,j): (  91,   7) --> ( 187,   1), goal index:     3018, cost =
 index:       72, (beta,j): (  94,   7) --> ( 187,   1), goal index:     3018, cost =
 index:       73, (beta,j): (  97,   7) --> ( 187,   1), goal index:     3018, cost =
 index:       74, (beta,j): (  79,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       75, (beta,j): (  80,   7) --> ( 187,   1), goal index:     3063, cost =
