TU LWE Challenge, n =  40, alpha = 0.0250
[0m[1;31m dim = 172, dvol = 331.97 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 8, J_gap = 1, cost_model = 2, max_loop = 5, threads = 15, G_prec = 0.000000e+00,  slope_prec = 1.000000e-04,  progressive_sieve = 1, worst_case, Min G2 Strategy. 

 index:        1, (beta,j): (  79,   8) --> ( 171,   1), goal index:        1, cost =
 index:        2, (beta,j): (  79,   7) --> ( 171,   1), goal index:      108, cost =
 index:        3, (beta,j): (  80,   7) --> ( 171,   1), goal index:      133, cost =
 index:        4, (beta,j): (  81,   7) --> ( 171,   1), goal index:      183, cost =
 index:        5, (beta,j): (  82,   7) --> ( 171,   1), goal index:      238, cost =
 index:        6, (beta,j): (  83,   7) --> ( 171,   1), goal index:      284, cost =
 index:        7, (beta,j): (  84,   7) --> ( 171,   1), goal index:      331, cost =
 index:        8, (beta,j): (  85,   7) --> ( 171,   1), goal index:      379, cost =
 index:        9, (beta,j): (  86,   7) --> ( 171,   1), goal index:      420, cost =
 index:       10, (beta,j): (  87,   7) --> ( 171,   1), goal index:      449, cost =
 index:       11, (beta,j): (  88,   7) --> ( 171,   1), goal index:      472, cost =
 index:       12, (beta,j): (  89,   7) --> ( 171,   1), goal index:      486, cost =
 index:       13, (beta,j): (  90,   7) --> ( 171,   1), goal index:      490, cost =
 index:       14, (beta,j): (  91,   7) --> ( 171,   1), goal index:      509, cost =
 index:       15, (beta,j): (  92,   7) --> ( 171,   1), goal index:      527, cost =
 index:       16, (beta,j): (  93,   7) --> ( 171,   1), goal index:      544, cost =
 index:       17, (beta,j): (  94,   7) --> ( 171,   1), goal index:      563, cost =
 index:       18, (beta,j): (  95,   7) --> ( 171,   1), goal index:      579, cost =
 index:       19, (beta,j): (  96,   7) --> ( 171,   1), goal index:      596, cost =
 index:       20, (beta,j): (  97,   7) --> ( 171,   1), goal index:      605, cost =
 index:       21, (beta,j): (  98,   7) --> ( 171,   1), goal index:      619, cost =
 index:       22, (beta,j): (  79,   7) --> ( 171,   1), goal index:      636, cost =
