TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 15, threads = 50, G_prec = 0.000000e+00,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G Strategy. 

 index:        1, (beta,j): (  79,  15) --> ( 194,   1), goal index:        1, cost =
 index:        2, (beta,j): (  79,  13) --> ( 194,   1), goal index:      169, cost =
 index:        3, (beta,j): (  79,  12) --> ( 194,   1), goal index:      169, cost =
 index:        4, (beta,j): (  79,  11) --> ( 194,   1), goal index:      169, cost =
 index:        5, (beta,j): (  79,  10) --> ( 194,   1), goal index:      169, cost =
 index:        6, (beta,j): (  79,   9) --> ( 194,   1), goal index:      169, cost =
 index:        7, (beta,j): (  79,   8) --> ( 194,   1), goal index:      169, cost =
 index:        8, (beta,j): (  79,   7) --> ( 194,   1), goal index:      169, cost =
 index:        9, (beta,j): (  79,   6) --> ( 194,   1), goal index:      169, cost =
 index:       10, (beta,j): (  79,   5) --> ( 194,   1), goal index:      169, cost =
 index:       11, (beta,j): (  79,   4) --> ( 194,   1), goal index:      169, cost =
 index:       12, (beta,j): (  79,   3) --> ( 194,   1), goal index:      169, cost =
 index:       13, (beta,j): (  79,   2) --> ( 194,   1), goal index:      169, cost =
 index:       14, (beta,j): (  79,   1) --> ( 194,   1), goal index:      169, cost =
 index:       15, (beta,j): (  80,  15) --> ( 194,   1), goal index:      169, cost =
 index:       16, (beta,j): (  80,   1) --> ( 194,   1), goal index:      169, cost =
 index:       17, (beta,j): (  81,  15) --> ( 194,   1), goal index:      169, cost =
 index:       18, (beta,j): (  81,   1) --> ( 194,   1), goal index:      169, cost =
 index:       19, (beta,j): (  82,  15) --> ( 194,   1), goal index:      169, cost =
 index:       20, (beta,j): (  82,   1) --> ( 194,   1), goal index:      169, cost =
 index:       21, (beta,j): (  83,  15) --> ( 194,   1), goal index:      169, cost =
 index:       22, (beta,j): (  83,   1) --> ( 194,   1), goal index:      169, cost =
 index:       23, (beta,j): (  84,  15) --> ( 194,   1), goal index:      169, cost =
 index:       24, (beta,j): (  84,   1) --> ( 194,   1), goal index:      169, cost =
 index:       25, (beta,j): (  85,  15) --> ( 194,   1), goal index:      169, cost =
 index:       26, (beta,j): (  85,   1) --> ( 194,   1), goal index:      169, cost =
 index:       27, (beta,j): (  86,  15) --> ( 194,   1), goal index:      169, cost =
 index:       28, (beta,j): (  86,   1) --> ( 194,   1), goal index:      169, cost =
 index:       29, (beta,j): (  87,  15) --> ( 194,   1), goal index:      169, cost =
 index:       30, (beta,j): (  87,   1) --> ( 194,   1), goal index:      169, cost =
 index:       31, (beta,j): (  88,  15) --> ( 194,   1), goal index:      169, cost =
 index:       32, (beta,j): (  88,   1) --> ( 194,   1), goal index:      169, cost =
 index:       33, (beta,j): (  89,  15) --> ( 194,   1), goal index:      169, cost =
 index:       34, (beta,j): (  89,   1) --> ( 194,   1), goal index:      169, cost =
 index:       35, (beta,j): (  90,  15) --> ( 194,   1), goal index:      169, cost =
 index:       36, (beta,j): (  90,   1) --> ( 194,   1), goal index:      169, cost =
 index:       37, (beta,j): (  91,  15) --> ( 194,   1), goal index:      169, cost =
 index:       38, (beta,j): (  91,   1) --> ( 194,   1), goal index:      169, cost =
 index:       39, (beta,j): (  92,  15) --> ( 194,   1), goal index:      169, cost =
 index:       40, (beta,j): (  92,   1) --> ( 194,   1), goal index:      169, cost =
 index:       41, (beta,j): (  93,  15) --> ( 194,   1), goal index:      169, cost =
 index:       42, (beta,j): (  93,   1) --> ( 194,   1), goal index:      169, cost =
 index:       43, (beta,j): (  94,  15) --> ( 194,   1), goal index:      169, cost =
 index:       44, (beta,j): (  94,   1) --> ( 194,   1), goal index:      169, cost =
 index:       45, (beta,j): (  95,  15) --> ( 194,   1), goal index:      169, cost =
 index:       46, (beta,j): (  95,   1) --> ( 194,   1), goal index:      169, cost =
 index:       47, (beta,j): (  96,  15) --> ( 194,   1), goal index:      169, cost =
 index:       48, (beta,j): (  96,   1) --> ( 194,   1), goal index:      169, cost =
 index:       49, (beta,j): (  97,  15) --> ( 194,   1), goal index:      169, cost =
 index:       50, (beta,j): (  97,   1) --> ( 194,   1), goal index:      169, cost =
 index:       51, (beta,j): (  98,  15) --> ( 194,   1), goal index:      169, cost =
 index:       52, (beta,j): (  98,   1) --> ( 194,   1), goal index:      169, cost =
 index:       53, (beta,j): (  99,  15) --> ( 194,   1), goal index:      169, cost =
 index:       54, (beta,j): (  99,   1) --> ( 194,   1), goal index:      169, cost =
 index:       55, (beta,j): ( 100,  15) --> ( 194,   1), goal index:      169, cost =
 index:       56, (beta,j): ( 100,   1) --> ( 194,   1), goal index:      169, cost =
 index:       57, (beta,j): ( 101,  15) --> ( 194,   1), goal index:      169, cost =
 index:       58, (beta,j): ( 101,   1) --> ( 194,   1), goal index:      169, cost =
 index:       59, (beta,j): ( 102,  15) --> ( 194,   1), goal index:      169, cost =
 index:       60, (beta,j): ( 102,   1) --> ( 194,   1), goal index:      169, cost =
 index:       61, (beta,j): ( 103,  15) --> ( 194,   1), goal index:      169, cost =
 index:       62, (beta,j): ( 103,   1) --> ( 194,   1), goal index:      169, cost =
 index:       63, (beta,j): ( 104,  15) --> ( 194,   1), goal index:      169, cost =
 index:       64, (beta,j): ( 104,   1) --> ( 194,   1), goal index:      169, cost =
 index:       65, (beta,j): ( 105,  15) --> ( 194,   1), goal index:      169, cost =
 index:       66, (beta,j): ( 105,   1) --> ( 194,   1), goal index:      169, cost =
 index:       67, (beta,j): ( 106,  15) --> ( 194,   1), goal index:      169, cost =
 index:       68, (beta,j): ( 106,   1) --> ( 194,   1), goal index:      169, cost =
 index:       69, (beta,j): ( 107,  15) --> ( 194,   1), goal index:      169, cost =
 index:       70, (beta,j): ( 107,   1) --> ( 194,   1), goal index:      169, cost =
 index:       71, (beta,j): ( 108,  15) --> ( 194,   1), goal index:      169, cost =
 index:       72, (beta,j): ( 108,   1) --> ( 194,   1), goal index:      169, cost =
 index:       73, (beta,j): ( 109,  15) --> ( 194,   1), goal index:      169, cost =
 index:       74, (beta,j): ( 109,   1) --> ( 194,   1), goal index:      169, cost =
 index:       75, (beta,j): ( 110,  15) --> ( 194,   1), goal index:      169, cost =
 index:       76, (beta,j): ( 110,   1) --> ( 194,   1), goal index:      169, cost =
 index:       77, (beta,j): ( 111,  15) --> ( 194,   1), goal index:      169, cost =
 index:       78, (beta,j): ( 111,   1) --> ( 194,   1), goal index:      169, cost =
 index:       79, (beta,j): ( 112,  15) --> ( 194,   1), goal index:      169, cost =
 index:       80, (beta,j): ( 112,   1) --> ( 194,   1), goal index:      169, cost =
 index:       81, (beta,j): ( 113,  15) --> ( 194,   1), goal index:      169, cost =
 index:       82, (beta,j): ( 113,   1) --> ( 194,   1), goal index:      169, cost =
 index:       83, (beta,j): ( 114,  15) --> ( 194,   1), goal index:      169, cost =
 index:       84, (beta,j): ( 114,   1) --> ( 194,   1), goal index:      169, cost =
 index:       85, (beta,j): ( 115,  15) --> ( 194,   1), goal index:      169, cost =
 index:       86, (beta,j): ( 115,   1) --> ( 194,   1), goal index:      169, cost =
 index:       87, (beta,j): ( 116,  15) --> ( 194,   1), goal index:      169, cost =
 index:       88, (beta,j): ( 116,   1) --> ( 194,   1), goal index:      169, cost =
 index:       89, (beta,j): ( 117,  15) --> ( 194,   1), goal index:      169, cost =
 index:       90, (beta,j): ( 117,   1) --> ( 194,   1), goal index:      169, cost =
 index:       91, (beta,j): ( 118,  15) --> ( 194,   1), goal index:      169, cost =
 index:       92, (beta,j): ( 118,   1) --> ( 194,   1), goal index:      169, cost =
 index:       93, (beta,j): ( 119,  15) --> ( 194,   1), goal index:      169, cost =
 index:       94, (beta,j): ( 119,   1) --> ( 194,   1), goal index:      169, cost =
 index:       95, (beta,j): ( 120,  15) --> ( 194,   1), goal index:      168, cost =
 index:       96, (beta,j): ( 120,   1) --> ( 194,   1), goal index:      168, cost =
 index:       97, (beta,j): ( 121,  15) --> ( 194,   1), goal index:      168, cost =
 index:       98, (beta,j): ( 121,   1) --> ( 194,   1), goal index:      168, cost =
 index:       99, (beta,j): ( 122,  15) --> ( 194,   1), goal index:      168, cost =
 index:      100, (beta,j): ( 122,   1) --> ( 194,   1), goal index:      168, cost =
 index:      101, (beta,j): ( 123,  15) --> ( 194,   1), goal index:      168, cost =
 index:      102, (beta,j): ( 123,   1) --> ( 194,   1), goal index:      168, cost =
 index:      103, (beta,j): ( 124,  15) --> ( 194,   1), goal index:      168, cost =
 index:      104, (beta,j): ( 124,   1) --> ( 194,   1), goal index:      168, cost =
 index:      105, (beta,j): ( 125,  15) --> ( 194,   1), goal index:      168, cost =
 index:      106, (beta,j): ( 125,   1) --> ( 194,   1), goal index:      168, cost =
 index:      107, (beta,j): ( 126,  15) --> ( 194,   1), goal index:      168, cost =
 index:      108, (beta,j): ( 126,   1) --> ( 194,   1), goal index:      168, cost =
 index:      109, (beta,j): ( 127,  15) --> ( 194,   1), goal index:      168, cost =
 index:      110, (beta,j): ( 127,   1) --> ( 194,   1), goal index:      168, cost =
 index:      111, (beta,j): ( 128,  15) --> ( 194,   1), goal index:      168, cost =
 index:      112, (beta,j): ( 128,   1) --> ( 194,   1), goal index:      168, cost =
 index:      113, (beta,j): ( 129,  15) --> ( 194,   1), goal index:      168, cost =
 index:      114, (beta,j): ( 129,   1) --> ( 194,   1), goal index:      168, cost =
 index:      115, (beta,j): ( 130,  15) --> ( 194,   1), goal index:      168, cost =
 index:      116, (beta,j): ( 130,   1) --> ( 194,   1), goal index:      168, cost =
 index:      117, (beta,j): ( 131,  15) --> ( 194,   1), goal index:      168, cost =
 index:      118, (beta,j): ( 131,   1) --> ( 194,   1), goal index:      168, cost =
 index:      119, (beta,j): ( 132,  15) --> ( 194,   1), goal index:      168, cost =
 index:      120, (beta,j): ( 132,   1) --> ( 194,   1), goal index:      169, cost =
 index:      121, (beta,j): ( 133,  15) --> ( 194,   1), goal index:      169, cost =
 index:      122, (beta,j): ( 133,   1) --> ( 194,   1), goal index:      169, cost =
 index:      123, (beta,j): ( 134,  15) --> ( 194,   1), goal index:      169, cost =
 index:      124, (beta,j): ( 134,   1) --> ( 194,   1), goal index:      169, cost =
 index:      125, (beta,j): ( 135,  15) --> ( 194,   1), goal index:      169, cost =
 index:      126, (beta,j): ( 135,   1) --> ( 194,   1), goal index:      169, cost =
 index:      127, (beta,j): ( 136,  15) --> ( 194,   1), goal index:      169, cost =
 index:      128, (beta,j): ( 136,   1) --> ( 194,   1), goal index:      169, cost =
 index:      129, (beta,j): ( 137,  15) --> ( 194,   1), goal index:      170, cost =
 index:      130, (beta,j): ( 137,   1) --> ( 194,   1), goal index:      170, cost =
 index:      131, (beta,j): ( 138,  15) --> ( 194,   1), goal index:      170, cost =
 index:      132, (beta,j): ( 138,   1) --> ( 194,   1), goal index:      170, cost =
 index:      133, (beta,j): ( 139,  15) --> ( 194,   1), goal index:      170, cost =
