TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 30, threads = 50, G_prec = 0.000000e+00,  slope_prec = 0.000000e+00, cumpr_prec = 1.000000e+02, strategy_add_method = 2, progressive_sieve = 1

 index:    1, (beta,j): (  79,  15) --> ( 194,   1), goal index:    1, cost =
 index:    2, (beta,j): (  79,  13) --> ( 194,   1), goal index:  169, cost =
 index:    3, (beta,j): (  79,  12) --> ( 194,   1), goal index:  170, cost =
 index:    4, (beta,j): (  79,  11) --> ( 194,   1), goal index:  169, cost =
 index:    5, (beta,j): (  79,  10) --> ( 194,   1), goal index:  170, cost =
 index:    6, (beta,j): (  79,   9) --> ( 194,   1), goal index:  169, cost =
 index:    7, (beta,j): (  79,   8) --> ( 194,   1), goal index:  170, cost =
 index:    8, (beta,j): (  79,   7) --> ( 194,   1), goal index:  169, cost =
 index:    9, (beta,j): (  79,   6) --> ( 194,   1), goal index:  169, cost =
 index:   10, (beta,j): (  79,   5) --> ( 194,   1), goal index:  169, cost =
 index:   11, (beta,j): (  79,   4) --> ( 194,   1), goal index:  172, cost =
 index:   12, (beta,j): (  79,   3) --> ( 194,   1), goal index:  169, cost =
 index:   13, (beta,j): (  79,   2) --> ( 194,   1), goal index:  169, cost =
 index:   14, (beta,j): (  79,   1) --> ( 194,   1), goal index:  169, cost =
 index:   15, (beta,j): (  80,  15) --> ( 194,   1), goal index:  169, cost =
 index:   16, (beta,j): (  80,   1) --> ( 194,   1), goal index:  169, cost =
 index:   17, (beta,j): (  81,  15) --> ( 194,   1), goal index:  169, cost =
 index:   18, (beta,j): (  81,   1) --> ( 194,   1), goal index:  169, cost =
 index:   19, (beta,j): (  82,  15) --> ( 194,   1), goal index:  169, cost =
 index:   20, (beta,j): (  82,   1) --> ( 194,   1), goal index:  171, cost =
 index:   21, (beta,j): (  83,  15) --> ( 194,   1), goal index:  169, cost =
 index:   22, (beta,j): (  83,   1) --> ( 194,   1), goal index:  169, cost =
 index:   23, (beta,j): (  84,  15) --> ( 194,   1), goal index:  170, cost =
 index:   24, (beta,j): (  84,   1) --> ( 194,   1), goal index:  169, cost =
 index:   25, (beta,j): (  85,  15) --> ( 194,   1), goal index:  169, cost =
 index:   26, (beta,j): (  85,   1) --> ( 194,   1), goal index:  169, cost =
 index:   27, (beta,j): (  86,  15) --> ( 194,   1), goal index:  169, cost =
 index:   28, (beta,j): (  86,   1) --> ( 194,   1), goal index:  172, cost =
 index:   29, (beta,j): (  87,  15) --> ( 194,   1), goal index:  169, cost =
 index:   30, (beta,j): (  87,   1) --> ( 194,   1), goal index:  169, cost =
 index:   31, (beta,j): (  88,  15) --> ( 194,   1), goal index:  170, cost =
 index:   32, (beta,j): (  88,   1) --> ( 194,   1), goal index:  169, cost =
 index:   33, (beta,j): (  89,  15) --> ( 194,   1), goal index:  171, cost =
 index:   34, (beta,j): (  89,   1) --> ( 194,   1), goal index:  170, cost =
 index:   35, (beta,j): (  90,  15) --> ( 194,   1), goal index:  170, cost =
 index:   36, (beta,j): (  90,   1) --> ( 194,   1), goal index:  169, cost =
 index:   37, (beta,j): (  91,  15) --> ( 194,   1), goal index:  169, cost =
 index:   38, (beta,j): (  91,   1) --> ( 194,   1), goal index:  169, cost =
 index:   39, (beta,j): (  92,  15) --> ( 194,   1), goal index:  169, cost =
 index:   40, (beta,j): (  92,   1) --> ( 194,   1), goal index:  169, cost =
 index:   41, (beta,j): (  93,  15) --> ( 194,   1), goal index:  169, cost =
 index:   42, (beta,j): (  93,   1) --> ( 194,   1), goal index:  169, cost =
