TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:    1, (beta,j): (  51,  15) --> ( 194,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 175,  10) --> ( 194,   1), goal index: 1152, cost =
 index:    3, (beta,j): ( 176,  12) --> ( 194,   1), goal index: 1259, cost =
 index:    4, (beta,j): ( 179,   5) --> ( 194,   1), goal index: 1495, cost =
 index:    5, (beta,j): ( 175,  14) --> ( 194,   1), goal index: 1945, cost =
 index:    6, (beta,j): ( 171,   8) --> ( 194,   1), goal index: 1346, cost =
 index:    7, (beta,j): ( 164,   3) --> ( 194,   1), goal index: 1356, cost =
 index:    8, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 1398, cost =
 index:    9, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 1615, cost =
 index:   10, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 1825, cost =
 index:   11, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 1763, cost =
 index:   12, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 1889, cost =
 index:   13, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2125, cost =
 index:   14, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 1977, cost =
 index:   15, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 1972, cost =
 index:   16, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2200, cost =
 index:   17, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 1948, cost =
 index:   18, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2146, cost =
 index:   19, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2273, cost =
 index:   20, (beta,j): ( 172,  11) --> ( 194,   1), goal index: 2204, cost =
 index:   21, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 2354, cost =
 index:   22, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 2694, cost =
 index:   23, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2504, cost =
 index:   24, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2174, cost =
 index:   25, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 2253, cost =
 index:   26, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 2391, cost =
 index:   27, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2385, cost =
 index:   28, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 2320, cost =
 index:   29, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2462, cost =
 index:   30, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2500, cost =
 index:   31, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2133, cost =
 index:   32, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2374, cost =
 index:   33, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2434, cost =
 index:   34, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 2392, cost =
 index:   35, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 2585, cost =
 index:   36, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2668, cost =
 index:   37, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2660, cost =
 index:   38, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2127, cost =
 index:   39, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2356, cost =
 index:   40, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2573, cost =
 index:   41, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 2500, cost =
 index:   42, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 2561, cost =
 index:   43, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2912, cost =
 index:   44, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2320, cost =
 index:   45, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 2386, cost =
 index:   46, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 2522, cost =
 index:   47, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 2644, cost =
 index:   48, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 2779, cost =
