============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 20, J_gap = 1, cost_model = 1, max_loop = 20, threads = 50, prec = 1.000000e+02, enum_bound = 1.000000e+00

 index:    1, (beta,j): (  51,  20) --> ( 499,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 338,   7) --> ( 499,   1), goal index: 2606, cost =
 index:    3, (beta,j): ( 340,  11) --> ( 499,   1), goal index: 2633, cost =
 index:    4, (beta,j): ( 338,   7) --> ( 499,   1), goal index: 2711, cost =
 index:    5, (beta,j): ( 338,   7) --> ( 499,   1), goal index: 2818, cost =
 index:    6, (beta,j): ( 339,   9) --> ( 499,   1), goal index: 2848, cost =
 index:    7, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2864, cost =
 index:    8, (beta,j): ( 341,  13) --> ( 499,   1), goal index: 2854, cost =
 index:    9, (beta,j): ( 338,   6) --> ( 499,   1), goal index: 2902, cost =
 index:   10, (beta,j): ( 338,   6) --> ( 499,   1), goal index: 2919, cost =
 index:   11, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2914, cost =
 index:   12, (beta,j): ( 336,   1) --> ( 499,   1), goal index: 2819, cost =
 index:   13, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2864, cost =
 index:   14, (beta,j): ( 338,   5) --> ( 499,   1), goal index: 2863, cost =
 index:   15, (beta,j): ( 336,   2) --> ( 499,   1), goal index: 2835, cost =
 index:   16, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2890, cost =
 index:   17, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2906, cost =
 index:   18, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2916, cost =
 index:   19, (beta,j): ( 337,   4) --> ( 499,   1), goal index: 2914, cost =
 index:   20, (beta,j): ( 340,  10) --> ( 499,   1), goal index: 2927, cost =
 index:   21, (beta,j): ( 336,   1) --> ( 499,   1), goal index: 2908, cost =
 index:   22, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2905, cost =
 index:   23, (beta,j): ( 337,   3) --> ( 499,   1), goal index: 2861, cost =
 index:   24, (beta,j): ( 337,   3) --> ( 499,   1), goal index: 2913, cost =
 index:   25, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2948, cost =
 index:   26, (beta,j): ( 336,   1) --> ( 499,   1), goal index: 2853, cost =
 index:   27, (beta,j): ( 337,  20) --> ( 499,   1), goal index: 2896, cost =
 index:   28, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2872, cost =
 index:   29, (beta,j): ( 336,   1) --> ( 499,   1), goal index: 2910, cost =
 index:   30, (beta,j): ( 337,   3) --> ( 499,   1), goal index: 2974, cost =
 index:   31, (beta,j): ( 337,   3) --> ( 499,   1), goal index: 2992, cost =
 index:   32, (beta,j): ( 337,  20) --> ( 499,   1), goal index: 2996, cost =
 index:   33, (beta,j): ( 337,   3) --> ( 499,   1), goal index: 2896, cost =
 index:   34, (beta,j): ( 337,  20) --> ( 499,   1), goal index: 2933, cost =
 index:   35, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2861, cost =
 index:   36, (beta,j): ( 337,  20) --> ( 499,   1), goal index: 2899, cost =
 index:   37, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2931, cost =
 index:   38, (beta,j): ( 337,  20) --> ( 499,   1), goal index: 2885, cost =
 index:   39, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2924, cost =
 index:   40, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2863, cost =
 index:   41, (beta,j): ( 337,   2) --> ( 499,   1), goal index: 2916, cost =
 index:   42, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2946, cost =
 index:   43, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2865, cost =
 index:   44, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2895, cost =
 index:   45, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2931, cost =
 index:   46, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2864, cost =
 index:   47, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2880, cost =
 index:   48, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2878, cost =
 index:   49, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2898, cost =
 index:   50, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2883, cost =
 index:   51, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2890, cost =
 index:   52, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2902, cost =
 index:   53, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2929, cost =
 index:   54, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2921, cost =
 index:   55, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2939, cost =
 index:   56, (beta,j): ( 337,   1) --> ( 499,   1), goal index: 2931, cost =
 index:   57, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2925, cost =
 index:   58, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2843, cost =
 index:   59, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2903, cost =
 index:   60, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2933, cost =
 index:   61, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2943, cost =
 index:   62, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2963, cost =
 index:   63, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2912, cost =
 index:   64, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2926, cost =
 index:   65, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2890, cost =
 index:   66, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2909, cost =
 index:   67, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2883, cost =
 index:   68, (beta,j): ( 338,   2) --> ( 499,   1), goal index: 2867, cost =
 index:   69, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2900, cost =
 index:   70, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2880, cost =
 index:   71, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2852, cost =
 index:   72, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2913, cost =
 index:   73, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2933, cost =
 index:   74, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2930, cost =
 index:   75, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2881, cost =
 index:   76, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2889, cost =
 index:   77, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2922, cost =
 index:   78, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2919, cost =
 index:   79, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2904, cost =
 index:   80, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2906, cost =
 index:   81, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2924, cost =
 index:   82, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2932, cost =
 index:   83, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2922, cost =
 index:   84, (beta,j): ( 338,   1) --> ( 499,   1), goal index: 2923, cost =
 index:   85, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2926, cost =
 index:   86, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2816, cost =
 index:   87, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2848, cost =
 index:   88, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2878, cost =
 index:   89, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2910, cost =
 index:   90, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2957, cost =
 index:   91, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2948, cost =
 index:   92, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2931, cost =
 index:   93, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2927, cost =
 index:   94, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2923, cost =
 index:   95, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2905, cost =
 index:   96, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2866, cost =
 index:   97, (beta,j): ( 339,   2) --> ( 499,   1), goal index: 2837, cost =
 index:   98, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2882, cost =
 index:   99, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2878, cost =
 index:  100, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2895, cost =
 index:  101, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2878, cost =
 index:  102, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2884, cost =
 index:  103, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2902, cost =
 index:  104, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2908, cost =
 index:  105, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2876, cost =
 index:  106, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2875, cost =
 index:  107, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2869, cost =
 index:  108, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2875, cost =
 index:  109, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2864, cost =
 index:  110, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2889, cost =
 index:  111, (beta,j): ( 339,   1) --> ( 499,   1), goal index: 2899, cost =
 index:  112, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2851, cost =
 index:  113, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2843, cost =
 index:  114, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2869, cost =
 index:  115, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2874, cost =
 index:  116, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2910, cost =
 index:  117, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2923, cost =
 index:  118, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2936, cost =
 index:  119, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2910, cost =
 index:  120, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2914, cost =
 index:  121, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2906, cost =
 index:  122, (beta,j): ( 340,   2) --> ( 499,   1), goal index: 2906, cost =
 index:  123, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2878, cost =
 index:  124, (beta,j): ( 341,   4) --> ( 499,   1), goal index: 2841, cost =
 index:  125, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2886, cost =
 index:  126, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2822, cost =
 index:  127, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2851, cost =
 index:  128, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2873, cost =
 index:  129, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2847, cost =
 index:  130, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2857, cost =
 index:  131, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2858, cost =
 index:  132, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2894, cost =
 index:  133, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2924, cost =
 index:  134, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2934, cost =
 index:  135, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2947, cost =
 index:  136, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2906, cost =
 index:  137, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2911, cost =
 index:  138, (beta,j): ( 340,   1) --> ( 499,   1), goal index: 2951, cost =
 index:  139, (beta,j): ( 341,   2) --> ( 499,   1), goal index: 2934, cost =
 index:  140, (beta,j): ( 341,   2) --> ( 499,   1), goal index: 2806, cost =
