============= Kyber-II
[0m[1;31m dim = 1467, dvol = 5661.08 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, enum_bound = 1.000000e+00

 index:    1, (beta,j): (  51,  15) --> ( 699,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 592,  10) --> ( 699,   1), goal index: 1117, cost =
 index:    3, (beta,j): ( 655,   1) --> ( 699,   1), goal index: 2218, cost =
 index:    4, (beta,j): ( 660,  11) --> ( 699,   1), goal index: 2309, cost =
 index:    5, (beta,j): ( 558,  10) --> ( 699,   1), goal index: 2348, cost =
 index:    6, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 2641, cost =
 index:    7, (beta,j): ( 573,   5) --> ( 699,   1), goal index: 2760, cost =
 index:    8, (beta,j): ( 575,   9) --> ( 699,   1), goal index: 2787, cost =
 index:    9, (beta,j): ( 656,   2) --> ( 699,   1), goal index: 2889, cost =
 index:   10, (beta,j): ( 659,   8) --> ( 699,   1), goal index: 2973, cost =
 index:   11, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 2995, cost =
 index:   12, (beta,j): ( 561,  15) --> ( 699,   1), goal index: 2875, cost =
 index:   13, (beta,j): ( 565,  10) --> ( 699,   1), goal index: 2882, cost =
 index:   14, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 2986, cost =
 index:   15, (beta,j): ( 555,  14) --> ( 699,   1), goal index: 2919, cost =
 index:   16, (beta,j): ( 555,  13) --> ( 699,   1), goal index: 2997, cost =
 index:   17, (beta,j): ( 555,  14) --> ( 699,   1), goal index: 3005, cost =
 index:   18, (beta,j): ( 555,  13) --> ( 699,   1), goal index: 3082, cost =
 index:   19, (beta,j): ( 555,  14) --> ( 699,   1), goal index: 3044, cost =
 index:   20, (beta,j): ( 555,  11) --> ( 699,   1), goal index: 3126, cost =
 index:   21, (beta,j): ( 553,   3) --> ( 699,   1), goal index: 3071, cost =
 index:   22, (beta,j): ( 555,  13) --> ( 699,   1), goal index: 2995, cost =
 index:   23, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3058, cost =
 index:   24, (beta,j): ( 554,  13) --> ( 699,   1), goal index: 3137, cost =
 index:   25, (beta,j): ( 554,  12) --> ( 699,   1), goal index: 3174, cost =
 index:   26, (beta,j): ( 554,  12) --> ( 699,   1), goal index: 3260, cost =
 index:   27, (beta,j): ( 554,  12) --> ( 699,   1), goal index: 3293, cost =
 index:   28, (beta,j): ( 555,  14) --> ( 699,   1), goal index: 3307, cost =
 index:   29, (beta,j): ( 554,  12) --> ( 699,   1), goal index: 3314, cost =
 index:   30, (beta,j): ( 554,  11) --> ( 699,   1), goal index: 3327, cost =
 index:   31, (beta,j): ( 554,  11) --> ( 699,   1), goal index: 3305, cost =
 index:   32, (beta,j): ( 554,  11) --> ( 699,   1), goal index: 3178, cost =
 index:   33, (beta,j): ( 554,  10) --> ( 699,   1), goal index: 3222, cost =
 index:   34, (beta,j): ( 555,  13) --> ( 699,   1), goal index: 3129, cost =
 index:   35, (beta,j): ( 555,  13) --> ( 699,   1), goal index: 3189, cost =
 index:   36, (beta,j): ( 554,  10) --> ( 699,   1), goal index: 3163, cost =
 index:   37, (beta,j): ( 554,  10) --> ( 699,   1), goal index: 3134, cost =
 index:   38, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3188, cost =
 index:   39, (beta,j): ( 554,  10) --> ( 699,   1), goal index: 3123, cost =
 index:   40, (beta,j): ( 555,  12) --> ( 699,   1), goal index: 3217, cost =
 index:   41, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3249, cost =
 index:   42, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3176, cost =
 index:   43, (beta,j): ( 554,  10) --> ( 699,   1), goal index: 3210, cost =
 index:   44, (beta,j): ( 555,  12) --> ( 699,   1), goal index: 3254, cost =
 index:   45, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3261, cost =
 index:   46, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3201, cost =
 index:   47, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3210, cost =
 index:   48, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3195, cost =
 index:   49, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3254, cost =
 index:   50, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3271, cost =
 index:   51, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3192, cost =
 index:   52, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3246, cost =
 index:   53, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3175, cost =
 index:   54, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3246, cost =
 index:   55, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3249, cost =
 index:   56, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3249, cost =
 index:   57, (beta,j): ( 554,   9) --> ( 699,   1), goal index: 3201, cost =
 index:   58, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3231, cost =
 index:   59, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3110, cost =
 index:   60, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3184, cost =
 index:   61, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3228, cost =
 index:   62, (beta,j): ( 554,   8) --> ( 699,   1), goal index: 3139, cost =
 index:   63, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3196, cost =
 index:   64, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3167, cost =
 index:   65, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3190, cost =
 index:   66, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3172, cost =
 index:   67, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3171, cost =
 index:   68, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3186, cost =
 index:   69, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3076, cost =
 index:   70, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3123, cost =
 index:   71, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3203, cost =
 index:   72, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3248, cost =
 index:   73, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3275, cost =
 index:   74, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3232, cost =
 index:   75, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3220, cost =
 index:   76, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3201, cost =
 index:   77, (beta,j): ( 555,   9) --> ( 699,   1), goal index: 3185, cost =
 index:   78, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3234, cost =
 index:   79, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3250, cost =
 index:   80, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3182, cost =
 index:   81, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3221, cost =
 index:   82, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3225, cost =
 index:   83, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3186, cost =
 index:   84, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3208, cost =
 index:   85, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3218, cost =
 index:   86, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3142, cost =
 index:   87, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3182, cost =
 index:   88, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3148, cost =
 index:   89, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3163, cost =
 index:   90, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3124, cost =
 index:   91, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3145, cost =
 index:   92, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3160, cost =
 index:   93, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3187, cost =
 index:   94, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3139, cost =
 index:   95, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3216, cost =
 index:   96, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3228, cost =
 index:   97, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3141, cost =
 index:   98, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3044, cost =
 index:   99, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3134, cost =
 index:  100, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3195, cost =
 index:  101, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3060, cost =
 index:  102, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3120, cost =
 index:  103, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3179, cost =
 index:  104, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3191, cost =
 index:  105, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3184, cost =
 index:  106, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3231, cost =
 index:  107, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3148, cost =
 index:  108, (beta,j): ( 554,   3) --> ( 699,   1), goal index: 3176, cost =
 index:  109, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3137, cost =
 index:  110, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3183, cost =
 index:  111, (beta,j): ( 554,   3) --> ( 699,   1), goal index: 3232, cost =
 index:  112, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3089, cost =
 index:  113, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3144, cost =
 index:  114, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3191, cost =
 index:  115, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3140, cost =
 index:  116, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3140, cost =
 index:  117, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3200, cost =
 index:  118, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3093, cost =
 index:  119, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3178, cost =
 index:  120, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3151, cost =
