============= Kyber-II
[0m[1;31m dim = 1467, dvol = 5661.08 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, enum_bound = 1.000000e+00

 index:    1, (beta,j): (  51,  15) --> ( 699,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 572,   8) --> ( 699,   1), goal index: 1068, cost =
 index:    3, (beta,j): ( 588,   4) --> ( 699,   1), goal index: 2751, cost =
 index:    4, (beta,j): ( 592,  12) --> ( 699,   1), goal index: 2899, cost =
 index:    5, (beta,j): ( 581,  10) --> ( 699,   1), goal index: 2972, cost =
 index:    6, (beta,j): ( 573,   9) --> ( 699,   1), goal index: 2932, cost =
 index:    7, (beta,j): ( 636,   7) --> ( 699,   1), goal index: 2974, cost =
 index:    8, (beta,j): ( 638,  11) --> ( 699,   1), goal index: 3020, cost =
 index:    9, (beta,j): ( 680,  11) --> ( 699,   1), goal index: 3072, cost =
 index:   10, (beta,j): ( 589,   5) --> ( 699,   1), goal index: 3113, cost =
 index:   11, (beta,j): ( 572,  14) --> ( 699,   1), goal index: 3036, cost =
 index:   12, (beta,j): ( 575,  12) --> ( 699,   1), goal index: 3052, cost =
 index:   13, (beta,j): ( 569,   7) --> ( 699,   1), goal index: 3065, cost =
 index:   14, (beta,j): ( 570,  14) --> ( 699,   1), goal index: 3102, cost =
 index:   15, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3079, cost =
 index:   16, (beta,j): ( 570,  14) --> ( 699,   1), goal index: 3102, cost =
 index:   17, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3138, cost =
 index:   18, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3138, cost =
 index:   19, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3167, cost =
 index:   20, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3149, cost =
 index:   21, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3217, cost =
 index:   22, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3215, cost =
 index:   23, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3206, cost =
 index:   24, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3245, cost =
 index:   25, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3235, cost =
 index:   26, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3288, cost =
 index:   27, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3289, cost =
 index:   28, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3209, cost =
 index:   29, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3222, cost =
 index:   30, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3218, cost =
 index:   31, (beta,j): ( 569,   6) --> ( 699,   1), goal index: 3281, cost =
 index:   32, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3141, cost =
 index:   33, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3193, cost =
 index:   34, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3225, cost =
 index:   35, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3275, cost =
 index:   36, (beta,j): ( 569,   5) --> ( 699,   1), goal index: 3295, cost =
 index:   37, (beta,j): ( 570,  13) --> ( 699,   1), goal index: 3181, cost =
 index:   38, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3218, cost =
 index:   39, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3235, cost =
 index:   40, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3260, cost =
 index:   41, (beta,j): ( 570,   9) --> ( 699,   1), goal index: 3283, cost =
 index:   42, (beta,j): ( 569,   4) --> ( 699,   1), goal index: 3259, cost =
 index:   43, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3202, cost =
 index:   44, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3244, cost =
 index:   45, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3266, cost =
 index:   46, (beta,j): ( 570,  12) --> ( 699,   1), goal index: 3275, cost =
 index:   47, (beta,j): ( 571,  13) --> ( 699,   1), goal index: 3322, cost =
 index:   48, (beta,j): ( 570,  11) --> ( 699,   1), goal index: 3343, cost =
 index:   49, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3348, cost =
 index:   50, (beta,j): ( 570,  10) --> ( 699,   1), goal index: 3339, cost =
