TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 10, threads = 50

 index:    1, (beta,j): (  51,  15) --> ( 194,   1), goal index:    1, cost =
 index:    2, (beta,j): (  51,   5) --> ( 194,   1), goal index:  664, cost =
 index:    3, (beta,j): (  51,   6) --> ( 194,   1), goal index:  678, cost =
 index:    4, (beta,j): (  51,   7) --> ( 194,   1), goal index:  689, cost =
 index:    5, (beta,j): (  51,   8) --> ( 194,   1), goal index:  702, cost =
 index:    6, (beta,j): (  51,   9) --> ( 194,   1), goal index:  690, cost =
 index:    7, (beta,j): (  51,  14) --> ( 194,   1), goal index:  687, cost =
 index:    8, (beta,j): (  63,   1) --> ( 194,   1), goal index:  695, cost =
 index:    9, (beta,j): (  65,   1) --> ( 194,   1), goal index:  695, cost =
 index:   10, (beta,j): (  67,   1) --> ( 194,   1), goal index:  706, cost =
 index:   11, (beta,j): (  69,   1) --> ( 194,   1), goal index:  717, cost =
 index:   12, (beta,j): (  71,   1) --> ( 194,   1), goal index:  719, cost =
 index:   13, (beta,j): (  52,  15) --> ( 194,   1), goal index:  722, cost =
 index:   14, (beta,j): (  51,   6) --> ( 194,   1), goal index:  729, cost =
 index:   15, (beta,j): (  54,   1) --> ( 194,   1), goal index:  721, cost =
 index:   16, (beta,j): (  52,   8) --> ( 194,   1), goal index:  722, cost =
 index:   17, (beta,j): (  51,   7) --> ( 194,   1), goal index:  723, cost =
 index:   18, (beta,j): (  51,   8) --> ( 194,   1), goal index:  735, cost =
 index:   19, (beta,j): (  52,  10) --> ( 194,   1), goal index:  726, cost =
 index:   20, (beta,j): (  51,   9) --> ( 194,   1), goal index:  736, cost =
 index:   21, (beta,j): (  51,  10) --> ( 194,   1), goal index:  736, cost =
 index:   22, (beta,j): (  51,  14) --> ( 194,   1), goal index:  738, cost =
 index:   23, (beta,j): (  63,   1) --> ( 194,   1), goal index:  741, cost =
 index:   24, (beta,j): (  53,  15) --> ( 194,   1), goal index:  736, cost =
 index:   25, (beta,j): (  51,   6) --> ( 194,   1), goal index:  737, cost =
 index:   26, (beta,j): (  55,  15) --> ( 194,   1), goal index:  733, cost =
 index:   27, (beta,j): (  55,   1) --> ( 194,   1), goal index:  737, cost =
 index:   28, (beta,j): (  52,   8) --> ( 194,   1), goal index:  744, cost =
 index:   29, (beta,j): (  51,   7) --> ( 194,   1), goal index:  744, cost =
 index:   30, (beta,j): (  53,  10) --> ( 194,   1), goal index:  746, cost =
 index:   31, (beta,j): (  51,   8) --> ( 194,   1), goal index:  747, cost =
 index:   32, (beta,j): (  53,  11) --> ( 194,   1), goal index:  735, cost =
 index:   33, (beta,j): (  52,  10) --> ( 194,   1), goal index:  741, cost =
 index:   34, (beta,j): (  51,   9) --> ( 194,   1), goal index:  739, cost =
 index:   35, (beta,j): (  51,  10) --> ( 194,   1), goal index:  739, cost =
 index:   36, (beta,j): (  51,   6) --> ( 194,   1), goal index:  747, cost =
